Импетиго,Поверхностное гнойничковое заболевание кожи.
Синергия ," комбинированное действие каких-либо компонентов, при котором суммарный эффект превышает действие каждого компонента в отдельности. "
Кагат,"Куча картофеля, корнеплодов, сложенная на земле и укрытая для длительного хранения"
Сноллигостер,"Человек руководствующийся личной выгодой, а не должностными обязанностями и
общечеловеческими принципами"
Ригидность,"Негибкость, неподатливость, оцепенелость, обусловленная напряжением мышц. Состояние, при котором снижена приспособляемость, переключаемость психических процессов к меняющимся требованиям среды.
"
Дисфория,"Пониженное настроение с раздражительностью, озлобленностью, мрачностью, повышенной чувствительностью к действиям окружающих, со склонностью к вспышкам агрессии."
Притязание,"требование, предъявление своих прав на что-нибудь; притязание на наследство"
Дефиниция,краткое определение какого-либо понятия
Калокагатия,гармония внешних и внутренних качеств человека
Хронофагия,"пожирание, убийство времени посредством интернета, тв и тд"
Плюрализм,одновременное существование нескольких независимых точек зрения по какому-либо вопросу
Триумвира́т,"Альянс между тремя лицами с целью раздела политической власти. В переносном смысле — группа из трёх человек или организаций, объединившихся для совместной деятельности."
Паллиатив,"действие или средство, не устраняющее проблему, но позволяющее отложить ее решение"
Дородный,"имеющий крупное, плотное телосложение; полный (о человеке)"
Симпозиум,"совещание, конференция (обычно с участием представителей разных стран) по какому-либо специальному (научному) вопросу"
Оскуляция,научное название поцелуя
Ламбдацизм,"врожденный дефект речи, нечеткое произношение буквы «Л»"
Бонвиван,"тот, кто любит жить в свое удовольствие, богато и беспечно"
Патернализм,"покровительство крупных государств более мелким государствам или колониям; в более широком смысле - покровительство, опека старшего младшему, подопечному"
Акселерация,"ускоренное, по сравнению с предыдущими поколениями - физическое и физиологическое развитие детей и подростков"
Бенефициант,"Некто, скорее всего участвующий и в честь - на пользу которого проводят мероприятие под названием бенефис. (см. бенефис)"
Инаугурация,церемония вступления в должность.
Пасквиль,"Сочинение, содержащее карикатурные искажения, клевету и злобные нападки, цель которых оскорбить и скомпрометировать какое-либо лицо, группу, партию, общественное движение и т.п."
Эква'йринг,"приём к оплате платёжных карт в качестве средства оплаты товара, работ, услуг."
Гедония,"Тоска по наслаждениям, стремление к удовольствиям и избежанию неприятных ощущений."
Каучсерфинг,"сеть, члены которой бесплатно предоставляют друг другу помощь и ночлег во время путешествий"
Экскурс,отступление от главной темы изложения для освещения побочного или дополнительного вопроса
Интрузия,внедрение магмы в толщину земной коры
Парафраз,"пересказ своими словами, краткое упрощенное изложение."
Филистерство,примитивное обывательское поведение и мещанское самодовольство; филистер – узколобый обыватель
Мизофобия,"боязнь грязи, навязчивый страх загрязнения"
Сие́ста,"послеобеденный отдых, являющийся общей традицией некоторых стран, особенно с жарким климатом."
Деменция,приобретенное слабоумие
Пинакотека,"хранилище живописных произведений, картинная галерея."
Эквилибристика,"Способность артиста удерживать равновесие при неустойчивом положении тела (на проволоке, на канате, на руках, на голове, на катушках, на бутылках, на стуле, на шаре и др.)."
Алкагест,"Или Универсальный растворитель (лат. Menstruum universale) в алхимии — жидкая субстанция, обладающая способностью растворять все без исключения тела (вещества)"
Ксенофо́бия,"страх или ненависть к кому-либо или чему-либо чужому, незнакомому, непривычному; восприятие чужого как непонятного, непостижимого, и поэтому опасного и враждебного. Воздвигнутая в ранг мировоззрения, может стать причиной вражды по принципу национального, религиозного или социального деления людей"
Панславизм," идеология, распространённая в государствах, населённых славянскими народами, в основе которой лежат идеи о необходимости славянского национального политического объединения на основе этнической, культурной и языковой общности. "
Дефлорация,Разрыв девственной плевы.
Интенция,"намерение, замысел; направленность сознания, воли, чувства на какой-либо предмет."
Зоопсии,"зрительные галлюцинации, содержанием которых являются животные"
Ко́мель,"Толстая часть ствола дерева непосредственно над корнем и корневищем, толстый «нижний» конец бревна или растения, корень волоса, рукоятка метлы, обвязанная часть пучка прутьев или веток, веника."
Оксю́морон,сочетание слов с противоположным значением (то есть сочетание несочетаемого)
Ляссе́,"(нем. Lesezeichen — закладка) — узкая лента в книге для закладок страниц, изготовляемая при издании книги."
Реминисценция,"отголосок, след какого-то творческого произведения в новом произведении, невольное или иногда сознательное заимствование"
Чекист,— сотрудник Всероссийской чрезвычайной комиссии по борьбе с контрреволюцией и саботажем (ЧК) и её подразделений на местах.
Акселерация ,"ускоренное (по сравнению с предыдущими поколениями, с нормой) физическое и физиологическое развитие детей и подростков."
Девиация,отклонение в показаниях компаса либо в человеческом психологическом существовании (извращение) или ненормальство на клеточном уровне.
Психоделия,"явления, связаные с «изменением» и «расширением» сознания и исследованиями устойчивости психики"
Абули́я," патологическое безволие и бесхарактерность, отсутствие желаний и побуждений к деятельности, неспособность выполнить действие, необходимость которого осознаётся; неспособность принять волевое решение."
Ингибирование,"     процесс торможения (подавления) жизненных процессов организма внешними факторами (физического, химического или психического характера).

"
Энантиодромия,"это философско-психологический закон, означающий, что всё существующее рано или поздно неизбежно переходит в свою противоположность"
Когнитивность,способность сознания к восприятию информации и ее усвоению
Протекционизм,"политика защиты внутреннего рынка от иностранной конкуренции через систему определённых ограничений: импортных и экспортных пошлин, субсидий и других мер"
Буколический,"1. безмятежный, мирный; 2.пасторальный, сельский, загородный"
Карт-бланш,полная свобода действий
Доктрина,"руководящий теоретический или политический принцип, учение, научная или философская теория."
Гипосмия,"Пониженная обонятельная чувствительность ко всем ароматическим веществам или же к одному веществу, или к группе веществ"
Бенефис,"Мероприятие, которое проводится чаще всего силами и виновника события (см. Бенефициант) в пользу и во славу его же. Применяется скорее всего в театральной сфере."
Кольеретка,"винная этикетка, наклеиваемая у основания горлышка бутылки"
Деструкция,"разрушение, нарушение нормальной структуры чего-либо"
Аллюр,"Виды походки лошади: шаг, рысь, галоп и иноходь; делятся на естественные и искусственные."
Зга,Что бы то ни было
Астеничность,"Утомляемость, слабость."
Мо́щи,"останки святых христианской церкви, являющиеся объектом религиозного почитания в Православной и Католической церквях"
Коньюгат,"Молекула, через которую связываются вместе две другие различные молекулы"
Хейтерство,"позиция с ярким проявлением неприятия и ненависти по отношению к какой-то персоне или явлению. Современный термин, пришедший из интернета."
Аутсо́рсинг,Передача определённых функций или задач другому лицу.
Омофон,"слова, звучащие одинаково, но пишущиеся по-разному: «порог» и «порок», «u» и «you too»"
Модистка,"мастерица по изготовлению женской одежды, преимущественно шляп"
Одиозный,"известный своими отрицательными качествами, вызывающий резко неприязненное отношение."
Аблатив,"Исходный падеж, ""отложительный"" падеж, слова в котором отвечают на вопросы ""откуда?"", ""от кого?"" и тд. "
Аннексирование,"насильственное присоединение, захват территории, принадлежащей другому государству или народу."
Экспоненциально,Значит растёт по экспоненте. Удваивается через определённые равные промежутки времени.
Монструазный,"чудовищный, ужасный или нелепый."
Бипатрид,"физическое лицо, имеющее одновременно гражданство двух или более государств"
Синекура,"выгодное место, должность с хорошей оплатой и практическим отсутствием обязанностей"
Промульгация,"Официальная публикация, обнародование какого-либо закона."
Юродствовать,"вести себя ненормально, придурковато; совершать бессмысленные, нелепые поступки"
Эксгумация,извлечение трупа из места его захоронения.
Бифуркация,Раздвоение чего-либо.
Э́тнос,"Исторически сложившаяся общность людей с общей культурой, языком и самосознанием. Термин близок к понятию ""народ"" в этнографическом смысле."
Аноми́я, исторически обусловленный процесс разрушения базовых элементов культуры — прежде всего в плане норм этических — при достаточно резкой смене общественных идеалов и морали
Реституция,"возвращение, возмещение убытков, восстановление первоначального положения"
Непреложный,"такой, который трудно или невозможно нарушить; не подлежащий изменению, обязательный"
Абсорбция,Всасывание
Профанация,"искажение чего-либо невежеством, оскорбительным отношением, обращением; опошление"
Дефенестрация,Акт выбрасывания кого-либо из окна.
Хэппенинг,"некая акция, как произведение искусства"
Абсцесс,"Гнойное воспаление тканей с их расплавлением и образованием гнойной полости, может развиться в подкожной клетчатке, мышцах, костях, а также в органах или между ними."
Брендинг,"процесс создания и поддержания бренда посредством рекламы, PR-мероприятий и др. форм продвижения товара"
Кипа ,"1.Еврейский головной убор (в виде маленькой круглой шапочки), ермолка.
2.Пачка, связка предметов, лежащих слоями один на другом.
3.Крупная упаковочная мера товара.
4.Куча, груда."
Бравурный,подчёркнуто мажорный и шумный.
Шуфлятка,"Выдвижная ящик в столе, тумбочке или шкафу."
Джентрифика́ция,реконструкция и обновление строений в прежде не фешенебельных городских кварталах. В результате джентрификации происходит повышение среднего уровня доходов населения района за счет замены жителей с низкими доходами на более состоятельных. 
Кольере́тка,"этикетка, наклеиваемая возле горлышка бутылки, с уточнением или пояснением, например, «Выдержанный», «Марочное», «Экстра» и т. п."
Бар-мицва́,Еврейский праздник совершеннолетия
Будуар,"туалетная, она же приемная дамская комната в богатом доме."
Абсолют,"нечто самодовлеющее, независимое от каких-либо условий, отношений и тп"
Органоиды ,"это части клетки ,имеющие постоянное строение и выполняющие определенные функции. Они содержаться в цитоплазме."
Пассионарность,Cтрастное стремление к цели и готовность к сверхнапряжениям и жертвенности ради достижения этой цели.
Петрикор,Запах земли после дождя
Собриология,"Псевдонаучное направление, основной идеей которого является побуждение людей к полному отказу от употребления алкоголя путём преувеличения опасностей, связанных с ним."
Баклуша," обрубок древесины, обработанный для выделки различных предметов"
Фригидность,снижение полового влечения
Мутизм,"Специфическая немота. Человек не может экспрессивно выражаться (кричать), при том, что речевой аппарат функционирует."
Триптих,"произведение искусства, состоящее из трёх картин, барельефов и др., объединенных общей идеей"
Гурт,"Ребро монеты (медали, жетона); Изначально его начали оформлять для предупреждения обрезания ценного металла по кромке."
Кадастр,"Реестр, список чего либо или кого либо."
Франшиза,"предусмотренная условиями страхования часть убытков лица, страхующего имущество, не подлежащая возмещению со стороны страховщика"
Узуальный,"обычный, общепринятый"
Оксюморон,сочетание слов с противоположным значением
Эскапизм,стремление спрятаться от действительности в вымышленном мире
Гривуа́зный,"Игривый, легкомысленный, нескромный, не вполне пристойный."
Медиаплан,План размещения рекламных обращений для проведения рекламной кампании
Тафофобия,страх быть погребённым заживо
Аффирмация,"краткая фраза, содержащая вербальную информацию, которая при многократном повторении закрепляет требуемый образ или установку в подсознании человека, способствуя улучшению его психоэмоционального фона и стимулируя положительные перемены в его жизни"
Рекогносцировка,осмотр местности перед проведением каких-либо работ (боевых действий)
Маргина́л,"Человек, находящийся вне своей социальной группы, изгой. Не признающий общепринятых моральных норм и правил поведения "
Неологизм,"слово, значение слова или словосочетание, недавно появившееся в языке"
Апартеи́д,"В прошлом политика ЮАР, заключавшаяся в отделении цветного населения в специальные резервации и лишении их многих прав."
Нарколепсия,Заболевание нервной системы
Ка́рвинг,"Художественная резка по овощам и фруктам, а также по дереву, льду и камням."
Космого́ния,"Область науки, в которой изучается происхождение и развитие космических тел и их систем: звёзд и звёздных скоплений, галактик, туманностей, Солнечной системы и всех входящих в неё тел — Солнца, планет, их спутников, астероидов, комет, метеоритов."
Аморфность,"бесформесть предмета; по отношению к человеку означает безвольность, подверженность влиянию со стороны"
Визионер,"человек, испытывающий галлюцинации, видения, духовидец;
перен. человек с богатым творческим воображением "
Императив,"повеление, настоятельное требование, властное давление"
Хеатускопия,"термин, обозначающий возникновение у индивида иллюзии, что он видит самого себя как бы со стороны"
Каланча́,наблюдательная башня при пожарной (полицейской) части
Шелла́к,"природная смола, экскретируемая самками ряда родов насекомых-червецов семейства Kerriidae, паразитирующими на некоторых тропических и субтропических деревьях в Индии и странах Юго-Восточной Азии. Используется для изготовления лаков, изоляционных материалов и в фотографии."
Итсизм,"форма религиозного либерализма, выражение, классифицирующее веру людей, которые, с одной стороны, считают, что есть что-то или кто-то «Высшее, между Небесами и Землёй», но, с другой стороны, не принимают и не поддерживают установленную систему верований, доктрин, догм и существующих объяснений природы Бога какой бы то ни было отдельно взятой религии."
Дезабилье," Легкая домашняя одежда (обычно женская), не носимая при посторонних; быть в дезабилье - быть не вполне одетым. "
Эйфория,"Радостное, веселое настроение, состояние благодушия и беспечности"
Эмпатия,"умение поставить себя на место другого человека, понимание другого человека через себя"
Интеграция,Объединение в единое целое каких-либо частей
Диссона́нс,"1 - Негармоничное сочетание музыкальных звуков.
2 - То, что вносит разлад во что-нибудь, вступает в полное противоречие с чем-нибудь."
Альтависта ," вид сверху, с высоты птичьего полёта."
Зо́рбинг,"экстремальный аттракцион и вид спорта, заключающийся в спуске человека в прозрачном шаре зорбе с горы"
Логорея,"пустословие, болтовня; длинные бессмысленные речи, произносимые ораторами"
Субординация,"Состояние образующееся между людьми, когда их становится больше одного."
Экзальтация,"возбуждённое состояние, нездоровая активность"
Синергетика,"междисциплинарное направление науки, изучающее общие закономерности явлений и процессов в сложных неравновесных системах (физических, химических, биологических, экологических, социальных и других) на основе присущих им принципов самоорганизации."
Лунула,полумесяц у основания ногтя
Клир,"Священнослужители и церковнослужители. Каждый храм имеет свой клир - совокупность людей, совершающих в нем богослужение."
Гаптофобия,боязнь прикосновений других людей
Макабр,танец смерти
Эвтрофикация,"насыщение водоёмов
биогенными элементами,
сопровождающееся ростом биологической
продуктивности водных бассейнов."
Панкратион,возрождённый древний олимпийский вид единоборства. 
Дамоклоиды,"Небесные тела солнечной системы, имеющие орбиты, аналогичные орбитам комет по параметрам (большой эксцентриситет и наклон к плоскости эклиптики), 
но не проявляющие кометной активности в виде комы или кометного хвоста"
Дезавуирование,"разоблачение действий и заявлений доверенного лица, несогласие с ними; также заявление о том, что это лицо не является уполномоченным"
Фузз,"гитарный эффект, разновидность перегруза."
Сепарати́зм,"стремление к самостоятельности, желание обособиться, отделившись от единого целого"
Аберрация,"Отклонение от нормы, искажение"
Конфабуляция,"симптом нарушения памяти или психическое расстройство, ложное воспоминание, фантастический рассказ о событиях, никогда не имевших места в жизни человека"
Фрустрация,"состояние подавленности, тревоги, возникающие в результате крушения надежд, невозможности осуществления целей"
Пунктуальность,"аккуратистичная обязательность в принципе и особенно в отношении взятых на себя их же, то есть обязательств"
Пигалица,"Небольшая луговая птица, так же используется, как определение для низкорослой, невзрачной девушки."
Тардис,Машина Времени или будка для поцелуев
Аксон,"длинный отросток. Они образуют нервные волокна.
"
Дефилировать,"Торжественно проходить, шествовать"
Яра́нга,"Переносное жилище с конической кровлей из шестов, покрытых оленьими шкурами."
Одиозность,"способность вызывать резкую неприязнь, ненависть."
Юрисди́кция,Пределы компетенции того или иного суда либо другого органа государственной власти.
Солипсизм,"эгоизм в своих крайних формах проявления, полное игнорирование интересов окружающих"
Конгруэнтность,"согласованность определенных элементов жизни человека, соответствие внутреннего мира поведению"
Фильтрум,вертикальное углубление между перегородкой носа и верхней губой
Амикошонство,"бесцеремонное, излишне фамильярное обращение"
Туш,"Короткое музыкальное произведение, исполняемое, как правило, духовым оркестром"
Контаминация,"смешение, соединение"
Несметный,"огромный по количеству,неисчислимый,бесчисленный."
Фидбэк,"обратная связь; отзыв, отклик, ответная реакция на какое-либо действие или событие."
Бластопор,"Первичный рот, образующийся в процессе эмбриогенеза."
Колаборационизм,"Осознанное, добровольное и умышленное сотрудничество с врагом, в его интересах и в ущерб своему государству."
Пронунциаменто ,"Призыв к восстанию, военному мятежу против проительства"
Офшор,"Финансовый центр, привлекающий иностранный капитал путём предоставления специальных налоговых и других льгот иностранным компаниям"
Прецедент,"случай или событие, имевшее место в прошлом, и служащее примером или основанием для аналогичных действий в настоящем"
Фанфаронада,хвастливо-легкомысленное высказывание
Кулуарный,"неофициальный, негласный."
Гедони́зм,"этическое учение, согласно которому удовольствие является высшим благом и целью жизни."
Гомункул,"человеческое существо, которое, по представлениям средневековых алхимиков, можно создать искусственным путем"
Компиляция,"составление сочинений на основе чужих исследований или чужих произведений(литературная компиляция) без самостоятельной обработки источников;работа, составленная таким методом."
Экзистенциали́зм,"направление в философии XX века, акцентирующее своё внимание на уникальности бытия человека, провозглашающее его иррациональным."
Бином ньютона,"формула для представления степени суммы двух чисел. Употребляется, как правило, в качестве выражения чего-то сложного."
Альтерация ,"В медицине - общее название изменения структуры клеток, тканей и органов, сопровождающееся нарушением их жизнедеятельности. В музыке - повышение или понижения тона."
Палиндромы  ,"слова и фразы, которые одинаково читаются как в прямом, так и в обратном направлении
"
Капитуляция,прекращение вооружённой борьбы и сдача вооружённых сил одного из воюющих государств
Вендор,Поставщик товаров и услуг под своей торговой маркой.
Полиптих,"Несколько картин, связанных общим замыслом, а также единством цветового и композиционного строя."
Медиатор,"третье нейтральное, независимое лицо (посредник, примиритель), помогающее сторонам разрешить имеющийся конфликт, спор"
Люмпенизация,"социально-регрессивное явление, характерное, как правило, для общества катастрофного типа и заключающееся в полном выпадении людей из социальной жизни и одновременным формированием обширного ""социального дна"", состоящего из обездоленных, обнищавших слоев населения."
Лавировать,"О парусном судне, лодке: двигаться против ветра по ломаной линии, а также (о судне, самолёте) вообще двигаться с частыми переменами курса."
Меморандум,"документ с изложением взглядов на какой-либо вопрос, разъясняющий что-либо или напоминающий о чём-либо"
Пендельтюр,"Дверь на качающихся петлях, открывающаяся в обе стороны. "
Сплин,"меланхолия, тоска. "
Элиминировать,"Удалять,исключать"
Пастеризация,"  процесс однократного нагревания чаще всего  жидких продуктов или веществ до 60 °C в течение 60 минут или при температуре 70—80 °C в течение 30 минут для обеззараживания пищевых продуктов, а также для продления срока их хранения. 

 "
Эйчар,"менеджер по поиску и найму кадров, решаеющий организационные вопросы, создающий мотивации для работников."
Интенциональность,"фундаментальная способность человеческого сознания, заключающаяся в направленности, концентрации на конкретном, определённом предмете"
Анфа́с,Передняя часть человека или сложного архитектурного объекта
Онтоло́гия,"учение о бытии; раздел философии, изучающий основные принципы бытия, его принципы и закономерности"
Виндикация,иск собственника об истребовании вещи из чужого незаконного владения
Реципие́нт,"это объект, получающий что-либо от другого объекта, называемого донором"
Варвари́зм,"Слово из чужого языка или оборот речи, построенный по образцу чужого языка, нарушающий чистоту речи."
Пунктуация,"область знаний, отвечающая за правильное написание различных знаков - типа препинания, в руко-  машино и других писных произведениях."
Хрематистика,"термин, которым обозначается наука об обогащении, искусстве накапливать деньги и имущество"
Мондегрин,Непонятные слова в песнях.
Аскетизм,"Образ жизни, характеризуемый самоограничением, прежде всего на удовольствия и роскошь; крайняя скромность и воздержание."
Амальгама,жидкие или твёрдые сплавы ртути с другими металлами 
Сиолония,Способность контролировать свой сон. И делать в нем что хотелось бы сделать в реальной жизни. 
Гипоксия, Пониженное содержание кислорода в организме или отдельных органах и тканях.Если коротко-кислородное голодание.
Аксельбант,"витиеватая подвитушка, носимая на парадной, чаще всего военной форме и служащая для окончательного восхищения изумлённой публики"
Куртуазный,"изысканно вежливый; любезный, галантный, учтивый"
Гетто,"районы крупных городов, где проживают этнические меньшинства, добровольно, либо принудительно."
Сизифов труд,"тяжёлая, безрезультатная, бесконечная работа и мука"
Лави́ровать,"О парусном судне, лодке: двигаться против ветра по ломаной линии, а также (о судне, самолёте) вообще двигаться с частыми переменами курса."
Сумбу́рный,"беспорядочный, запутанный, хаотичный"
Бутафория,"что-то показное, фальшивое"
Аутентификация,процедура проверки подлинности
Эскамотировать,ловко присваивать или незаметно подменять что-либо
Пакгауз,помещение или комната для хранения грузов (обычно кратковременного).
Дератизация,"Умерщвление (или отпугивание) грызунов, имеющих эпидемиологическое и санитарно-гигиеническое значение, с целью снижения их численности"
Нарвасадата,Суррогатная форма полового сношения путем введения полового члена между молочными железами женщины.
Палиндром,слово или фраза – перевертыши
Патронаж,"покровительство, попечительство"
Эйджизм,Дискриминация людей по возрастному признаку.
Сесквипиделиани,"еще 2 буквы ""ст"" в конце. Сесквипиделианист - человек, склонный к употреблению длинных мудрёных слов"
Бомо́нд,"""сливки"" общества"
Конформизм,"приспособленчество, бездумное следование общим мнениям, модным тенденциям"
Гиподинамия,"нарушение функций организма при ограничении двигательной активности, снижении силы сокращения мышц."
Дэксиарестэрáт,Человек владеющий правой и левой руками.
Реификация,"ошибка в рассуждении, когда абстрактное понимают как конкретное, как реальную вещь или физический объект"
Бестиарий,"Средневековый сборник зоологических статей (с иллюстрациями), в которых подробно описывались различные животные в прозе и стихах, 
главным образом, с аллегорическими и нравоучительными целями"
Авельман,Элемент техники поворота в горнолыжном спорте. Выполняется на спуске при завершении поворота для изменения его направления с минимальным торможением
Антипатия,"Чувство неприязни, отвращения к кому-либо. Противоположность симпатии."
Бруксизм,"Скрип зубами, чавканье во сне."
Энофил,"человек, посвятивший себя изучению вина и придерживающийся строгих традиций в его потреблении и оценке."
Тенёта,Сеть для ловли зверей.
